solute_element,nominal_solute_fraction,B_GPa_mean,B_GPa_std,B_GPa_count,G_GPa_mean,G_GPa_std,G_GPa_count,B_over_G_mean,B_over_G_std,B_over_G_count,Tm_linear_K_mean
Mo,0.0,304.0962487246944,0.00029715090210010136,3,152.69595155747194,0.0004897759957578544,3,1.9915148085127703,6.297197594963203e-06,3,3695.0
Mo,0.05,300.94727429801486,0.014180426728542925,3,151.2133108280216,0.011861282249315932,3,1.990216821225992,6.610549601578078e-05,3,3657.546875
Mo,0.1,298.2070076549434,0.04892682195553626,3,149.8777239957377,0.002894296431986784,3,1.9896686393238774,0.00029271147646016984,3,3613.8515625
Mo,0.15,296.0954726035757,0.06042463256757536,3,148.77164113919673,0.03644187582373967,3,1.990268282018918,0.0004109395287827676,3,3576.3984375
Mo,0.2,293.7018906777557,0.0354550401493457,3,147.4374234931992,0.04221257134228453,3,1.99204449584401,0.0006577520911836467,3,3532.703125
Mo,0.25,291.7975616134088,0.034016921440947895,3,146.29587436209076,0.03287914811283217,3,1.994571443983844,0.0005781235927848932,3,3495.25
Mo,0.3,289.8656347707788,0.13149933828812757,3,145.2145490429045,0.06784066971481004,3,1.9961203477063456,0.0018180974153604655,3,3457.796875
Mo,0.35,287.8750858535241,0.06436772728894237,3,143.87681450724713,0.08890747919364564,3,2.000844665258191,0.0012767049147870346,3,3414.1015625
Mo,0.4,286.19293807703474,0.04451353681393809,3,142.80862148133426,0.023868443777726567,3,2.0040313024818155,0.0006250314331721695,3,3376.6484375
Mo,0.45,284.2469193981498,0.07954445602508704,3,141.51840583441253,0.023128417636581102,3,2.0085509821987197,0.0008882143478243239,3,3332.953125
Mo,0.5,282.6456437451938,0.09047991997088818,3,140.41906592208298,0.06965428512157694,3,2.0128726317524825,0.0012699815788146521,3,3295.5
Mo,0.55,280.89098653584807,0.08621854582248831,3,139.30847401194217,0.06692816975188003,3,2.0163241938294174,0.0014318904800663837,3,3258.046875
Mo,0.6,279.1405388489672,0.05669835377932116,3,137.96759017087973,0.04328958267222901,3,2.023232753175176,0.0003716823673910212,3,3214.3515625
Mo,0.65,277.28929005465415,0.04640282801159699,3,136.84092479913176,0.07003557524205344,3,2.026362531680657,0.00070327420838882,3,3176.8984375
