base_element,solute_element,nominal_solute_fraction,actual_solute_fraction,seed,a0_mix,E0_eV,V0_A3,Tm_linear_K,hydro_fit,normal_fit,shear_fit,B_eVA3,C11_eVA3,C12_eVA3,C44_eVA3,GV_eVA3,GR_eVA3,G_eVA3,B_over_G,B_GPa,C11_GPa,C12_GPa,C44_GPa,GV_GPa,GR_GPa,G_GPa,born_c1,born_c2,born_c3,born_stable,status
W,Ta,0.15,0.1484375,52,3.1895,-1643.1723855309028,2095.3065832564907,3634.8828125,"{'family': 'hydrostatic', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([8.68683783e-04, 4.84171122e-04, 2.13195555e-04, 5.28822917e-05,
       5.08648638e-05, 2.01361149e-04, 4.47264392e-04, 7.85005255e-04]), 'a2': np.float64(8.26555356126853)}","{'family': 'normal', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([1.56343337e-04, 8.71370340e-05, 3.83253013e-05, 9.43395893e-06,
       9.56543704e-06, 3.76611102e-05, 8.38486241e-05, 1.47687560e-04]), 'a2': np.float64(1.5201814514788807)}","{'family': 'shear', 'x': array([-0.04, -0.03, -0.02, -0.01,  0.01,  0.02,  0.03,  0.04]), 'y': array([0.00253307, 0.00140598, 0.00062135, 0.00015617, 0.00015041,
       0.00061004, 0.00138957, 0.0025121 ]), 'a2': np.float64(1.580411437018093)}",1.8367896802818953,3.0403629029577615,1.2350030689439622,0.7902057185090465,0.8351953979081879,0.8316555338109533,0.8334254658595706,2.203903954851541,294.28614830743595,487.1198361866544,197.86930436782666,126.60491278176602,133.8130540328252,133.2459052830853,133.52947965795525,True,True,True,True,success
W,Ta,0.15,0.1484375,62,3.1895,-1643.4657618212318,2095.5349828282715,3634.8828125,"{'family': 'hydrostatic', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([8.69334252e-04, 4.84905272e-04, 2.13862988e-04, 5.33071041e-05,
       5.02398049e-05, 1.99937623e-04, 4.44916565e-04, 7.81674951e-04]), 'a2': np.float64(8.252374534779321)}","{'family': 'normal', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([1.57736375e-04, 8.82142985e-05, 3.90642506e-05, 9.81428897e-06,
       9.15316541e-06, 3.68233761e-05, 8.25650799e-05, 1.45929891e-04]), 'a2': np.float64(1.5184106555803534)}","{'family': 'shear', 'x': array([-0.04, -0.03, -0.02, -0.01,  0.01,  0.02,  0.03,  0.04]), 'y': array([0.00251388, 0.00139137, 0.00061152, 0.00015127, 0.00015513,
       0.00061918, 0.00140286, 0.00252948]), 'a2': np.float64(1.5798749189494152)}",1.833861007728738,3.0368213111607067,1.2323808560127536,0.7899374594747076,0.8348505667144153,0.8313211654868732,0.8330858661006442,2.201286904928947,293.8169232379712,486.55241062888865,197.4491795425125,126.5619329464524,133.7578059851467,133.1923335719276,133.47506977853712,True,True,True,True,success
W,Ta,0.2,0.203125,42,3.196,-1636.2282622899334,2108.5073854309876,3612.734375,"{'family': 'hydrostatic', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([8.32961193e-04, 4.61318236e-04, 2.00545504e-04, 4.78307765e-05,
       5.34093168e-05, 2.03983724e-04, 4.47558193e-04, 7.80662443e-04]), 'a2': np.float64(8.065241950297901)}","{'family': 'normal', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([1.44937499e-04, 7.98950235e-05, 3.43693335e-05, 7.89251679e-06,
       1.02401225e-05, 3.81581261e-05, 8.33279745e-05, 1.45315425e-04]), 'a2': np.float64(1.451334005114952)}","{'family': 'shear', 'x': array([-0.04, -0.03, -0.02, -0.01,  0.01,  0.02,  0.03,  0.04]), 'y': array([0.00237988, 0.00131786, 0.00058004, 0.00014427, 0.0001445 ,
       0.0005804 , 0.00131818, 0.00237984]), 'a2': np.float64(1.4912050214558907)}",1.7922759889550892,2.902668010229904,1.2370799783176818,0.7456025107279454,0.7804791128192117,0.7781924525352718,0.7793357826772418,2.299748104466739,287.15426875250427,465.05868239344073,198.20206193203606,119.45869110980952,125.04653875816665,124.68017539350261,124.86335707583464,True,True,True,True,success
W,Ta,0.2,0.203125,52,3.196,-1636.6071726107525,2108.0743409103156,3612.734375,"{'family': 'hydrostatic', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([8.36735908e-04, 4.64047921e-04, 2.02298801e-04, 4.86740606e-05,
       5.26503600e-05, 2.02570545e-04, 4.45642468e-04, 7.78417064e-04]), 'a2': np.float64(8.072982576867972)}","{'family': 'normal', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([1.46927459e-04, 8.13272088e-05, 3.52810272e-05, 8.32798717e-06,
       9.85368105e-06, 3.74385644e-05, 8.23299341e-05, 1.44101063e-04]), 'a2': np.float64(1.4552116178795949)}","{'family': 'shear', 'x': array([-0.04, -0.03, -0.02, -0.01,  0.01,  0.02,  0.03,  0.04]), 'y': array([0.00238615, 0.00132118, 0.00058169, 0.00014495, 0.000144  ,
       0.00057956, 0.00131733, 0.00237965]), 'a2': np.float64(1.4931994470643135)}",1.7939961281928827,2.9104232357591897,1.235782574409729,0.7465997235321568,0.7828879663891862,0.7804220790863974,0.7816550227377919,2.2951251843931195,287.42986543963565,466.30120649664605,197.99419491113042,119.6184622138965,125.43247964544103,125.03740094683545,125.23494029613825,True,True,True,True,success
W,Ta,0.2,0.203125,62,3.196,-1636.8014519732974,2107.588200267774,3612.734375,"{'family': 'hydrostatic', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([8.38460833e-04, 4.64960721e-04, 2.02659848e-04, 4.87368804e-05,
       5.27961944e-05, 2.03041762e-04, 4.46600040e-04, 7.80021408e-04]), 'a2': np.float64(8.089624535871337)}","{'family': 'normal', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([1.46948391e-04, 8.12187169e-05, 3.51328582e-05, 8.21843272e-06,
       1.00230463e-05, 3.78299993e-05, 8.29793037e-05, 1.45048882e-04]), 'a2': np.float64(1.4600522422649425)}","{'family': 'shear', 'x': array([-0.04, -0.03, -0.02, -0.01,  0.01,  0.02,  0.03,  0.04]), 'y': array([0.00237216, 0.00130942, 0.00057334, 0.00014073, 0.00014784,
       0.00058691, 0.00132847, 0.00239567]), 'a2': np.float64(1.4940631151264459)}",1.7976943413047417,2.920104484529885,1.23648926969217,0.7470315575632229,0.7849419775054767,0.7822602914094425,0.7836011344574596,2.2941446384574316,288.0223844982913,467.8523135407017,198.1074199770861,119.68764965276051,125.76156850437943,125.33191502764039,125.5467417660099,True,True,True,True,success
W,Ta,0.25,0.25,42,3.2024999999999997,-1630.6297669121093,2119.0159151171024,3593.75,"{'family': 'hydrostatic', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([8.15516017e-04, 4.51806412e-04, 1.96543634e-04, 4.69785646e-05,
       5.20569237e-05, 1.99195569e-04, 4.37409415e-04, 7.63394490e-04]), 'a2': np.float64(7.891934981801595)}","{'family': 'normal', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([1.40469462e-04, 7.75656777e-05, 3.34949795e-05, 7.78801282e-06,
       9.68200054e-06, 3.64004442e-05, 7.97340891e-05, 1.39282347e-04]), 'a2': np.float64(1.3988533055901982)}","{'family': 'shear', 'x': array([-0.04, -0.03, -0.02, -0.01,  0.01,  0.02,  0.03,  0.04]), 'y': array([0.00225812, 0.00124759, 0.00054704, 0.00013484, 0.00013934,
       0.00055555, 0.00125934, 0.00227224]), 'a2': np.float64(1.4196566083474922)}",1.7537633292892432,2.7977066111803963,1.2317916883436666,0.7098283041737461,0.7390799670715935,0.7373770616727584,0.738228514372176,2.3756374823596804,280.9838604603597,448.2420124290827,197.35478447599826,113.7270313729287,118.4136644143741,118.14082889262933,118.2772466535017,True,True,True,True,success
W,Ta,0.25,0.25,52,3.2024999999999997,-1630.6650560429684,2118.7728442420835,3593.75,"{'family': 'hydrostatic', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([8.19854262e-04, 4.54987978e-04, 1.98605861e-04, 4.79731296e-05,
       5.11537831e-05, 1.97481700e-04, 4.34954192e-04, 7.60219430e-04]), 'a2': np.float64(7.897617517057392)}","{'family': 'normal', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([1.44563574e-04, 8.06480258e-05, 3.55590773e-05, 8.82419792e-06,
       8.64165481e-06, 3.43192253e-05, 7.66103003e-05, 1.35112564e-04]), 'a2': np.float64(1.3984698055572418)}","{'family': 'shear', 'x': array([-0.04, -0.03, -0.02, -0.01,  0.01,  0.02,  0.03,  0.04]), 'y': array([0.00225978, 0.00124679, 0.00054541, 0.00013361, 0.00014111,
       0.00055925, 0.00126473, 0.00227879]), 'a2': np.float64(1.4222156091893452)}",1.7550261149016426,2.7969396111144835,1.234069366795222,0.7111078045946726,0.7392387316206558,0.7376629756502525,0.7384508536354542,2.3766322515053036,281.1861810188866,448.1191254717069,197.71970879247647,113.93202993899992,118.43910129924603,118.18663736165942,118.31286933045273,True,True,True,True,success
W,Ta,0.25,0.25,62,3.2024999999999997,-1630.999556223302,2118.815626469774,3593.75,"{'family': 'hydrostatic', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([8.14245597e-04, 4.50712412e-04, 1.95716607e-04, 4.65113652e-05,
       5.26599815e-05, 2.00541893e-04, 4.39618899e-04, 7.66590318e-04]), 'a2': np.float64(7.901447281611269)}","{'family': 'normal', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([1.40485943e-04, 7.75409054e-05, 3.34544323e-05, 7.76088773e-06,
       9.72967148e-06, 3.65078045e-05, 7.99123167e-05, 1.39538259e-04]), 'a2': np.float64(1.4002040803374525)}","{'family': 'shear', 'x': array([-0.04, -0.03, -0.02, -0.01,  0.01,  0.02,  0.03,  0.04]), 'y': array([0.00225895, 0.0012474 , 0.00054675, 0.00013482, 0.00013885,
       0.00055394, 0.00125607, 0.00226683]), 'a2': np.float64(1.4183369510713746)}",1.755877173691393,2.800408160674905,1.233611680199637,0.7091684755356873,0.7388603814164659,0.7371058334553188,0.7379831074358923,2.379291823890324,281.32253566847305,448.67484837308626,197.64637931616647,113.62131517116549,118.37848291408325,118.09737334174102,118.23792812791213,True,True,True,True,success
W,Ta,0.3,0.296875,42,3.2089999999999996,-1624.2841491667964,2130.059873078265,3574.765625,"{'family': 'hydrostatic', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([7.94914996e-04, 4.40757877e-04, 1.92020498e-04, 4.60755827e-05,
       5.04714697e-05, 1.93760998e-04, 4.26035104e-04, 7.44111593e-04]), 'a2': np.float64(7.692480251969328)}","{'family': 'normal', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([1.35709374e-04, 7.52991766e-05, 3.28424479e-05, 7.89058459e-06,
       8.75689241e-06, 3.37440356e-05, 7.45723158e-05, 1.30857159e-04]), 'a2': np.float64(1.3329373492150247)}","{'family': 'shear', 'x': array([-0.04, -0.03, -0.02, -0.01,  0.01,  0.02,  0.03,  0.04]), 'y': array([0.00215453, 0.0011965 , 0.00052896, 0.0001332 , 0.00012737,
       0.00051903, 0.00118589, 0.00214803]), 'a2': np.float64(1.348206504445278)}",1.709440055993184,2.6658746984300494,1.231222734774751,0.674103252222639,0.6913923440646431,0.6907518506113752,0.6910720973380091,2.473605955989108,273.88248923713223,427.12021158068757,197.26362806535454,108.00324707163578,110.77326494604809,110.67064658238796,110.72195576421801,True,True,True,True,success
W,Ta,0.3,0.296875,52,3.2089999999999996,-1623.9769249078645,2130.4627956554236,3574.765625,"{'family': 'hydrostatic', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([8.05125661e-04, 4.48449352e-04, 1.97167749e-04, 4.86563031e-05,
       4.78806910e-05, 1.88582270e-04, 4.18287906e-04, 7.33770063e-04]), 'a2': np.float64(7.691847451028286)}","{'family': 'normal', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([1.40274956e-04, 7.86681364e-05, 3.50422842e-05, 8.96416823e-06,
       7.73645412e-06, 3.17631513e-05, 7.16924845e-05, 1.27136926e-04]), 'a2': np.float64(1.337158985543388)}","{'family': 'shear', 'x': array([-0.04, -0.03, -0.02, -0.01,  0.01,  0.02,  0.03,  0.04]), 'y': array([0.00217523, 0.00120592, 0.00053116, 0.00013235, 0.00013138,
       0.00052905, 0.00120286, 0.00217208]), 'a2': np.float64(1.36202920775655)}",1.7092994335618412,2.674317971086776,1.2267901647993738,0.681014603878275,0.6981143235844455,0.697493660147237,0.6978039918658412,2.4495409219305078,273.8599590399465,428.4729729860523,196.55345206689358,109.1105676757145,111.85024478926046,111.75080354441238,111.80052416683641,True,True,True,True,success
